run_id,acf_returns_1,acf_abs_returns_1,acf_squared_returns_1,return_kurtosis,return_skewness,return_p01,return_p05,return_p95,return_p99,extreme_negative_1pct,extreme_negative_5pct,liquidation_concentration_top10,corr_liq_negative_return,corr_margin_negative_return
49,0.029410969254336918,-0.025869861197963716,-0.030426291387246007,-0.1710878580914197,0.09899673697522161,-0.06850078833170907,-0.04928763011902115,0.05149968352428514,0.0725689127353488,0.01,0.05,1.0,0.23744212140923648,0.22302516082441823
50,0.057925763987115075,-0.02688915795845089,-0.032743829494821186,0.04879462568820969,0.1684995524920071,-0.06369718043729808,-0.04907135060965772,0.05378359406724579,0.06849820830385997,0.01,0.05,0.9999999999999998,0.13356747784652084,0.11340396509729778
51,-0.004761475781608996,-0.021071242014021187,-0.018618387787197755,0.016187982504238363,0.13652149113969628,-0.05847411612892741,-0.050253285662312394,0.0489697764529746,0.07360570012055052,0.01,0.05,1.0000000000000002,0.23317555011475533,0.19620509565031868
52,-0.03801907204523702,0.004485114800351406,0.011798540167649214,-0.39626452408785484,0.04203868941289924,-0.06844911714283138,-0.056055798503313034,0.052518107412290786,0.06978342613337686,0.01,0.05,1.0000000000000002,0.3186814322126714,0.26530627454798555
53,0.02951235876978712,-0.04942303893245863,-0.03314629119844954,-0.25610845191583165,-0.0715689716265143,-0.0741312385140539,-0.05282169131295797,0.04790516814056161,0.061387758766958754,0.01,0.05,0.9791961300478305,0.38335668681971075,0.3269253411837228
54,-0.020124138710379897,-0.007981698676073571,-0.013320556819030157,-0.38359998743815105,0.0391997698465347,-0.06439396496947834,-0.05258265743818682,0.050662938495572886,0.06940231886201781,0.01,0.05,0.9990141997485675,0.334383277662566,0.2805359760167781
55,0.029757609910191222,0.063769593748664,0.04996926537420981,-0.33982595503749113,0.06938358578228217,-0.07255657245791608,-0.052818411572170994,0.052548205329129336,0.06599206135351883,0.01,0.05,0.9245296812003103,0.39907808246453297,0.39582952632437346
56,0.04397681947011276,-0.06213809448469296,-0.07570273358411539,-0.1900888384614552,0.11553890622196068,-0.061861786594379874,-0.04836108510957949,0.0549737799821691,0.08003764661721774,0.01,0.05,1.0000000000000002,0.22487038138881188,0.19634687552471639
57,0.03338441765039013,0.025382248482770625,-0.0011718342718406622,-0.016099983082684677,0.1964191469528754,-0.07262127687154896,-0.05259243710397666,0.05237700690976034,0.07354133527955413,0.01,0.05,0.9999999999999998,0.32259330401593056,0.2956754377094979
58,-0.05363868685407465,-0.0237828846630122,-0.011345524663024482,-0.4190486769438664,0.12865920992724963,-0.06815785861578873,-0.050509921469819495,0.05013773446135965,0.07050634998008294,0.01,0.05,1.0,0.3245512300635027,0.2936630711836623
59,-0.015978981396741875,-0.0074253016171444575,-0.03778047438401913,-0.28365930116083193,-0.0837014421682081,-0.07516424077389806,-0.05400583043217874,0.049148671434376456,0.06454741544318347,0.01,0.05,0.987147969245241,0.4391263298358901,0.36896811019322784
60,0.11069854811347564,-0.022103826174338582,-0.027961691216240765,-0.2566315713348857,-0.03854302720678809,-0.07693171143117208,-0.04965294097678166,0.05288643415347718,0.06621364500576993,0.01,0.05,1.0000000000000002,0.26860553186746683,0.21031366341556676
61,-0.04770653377960485,0.009201272058990382,-0.0025772280145297953,-0.21229809738824645,0.060927371271039824,-0.06844174291149506,-0.05376385479268203,0.05445705809074849,0.07054294208393935,0.01,0.05,1.0000000000000002,0.23651198931124978,0.16883076024490837
62,0.04249084960970111,0.04483661224211314,0.046647561869767,-0.21832444356779312,-0.04936799259084217,-0.07024851811198787,-0.04999033343130281,0.05231995497459894,0.06892954047756167,0.01,0.05,1.0,0.15203172724032304,0.15556489307455737
63,-0.014348198304766194,-0.006831231355600853,0.006979272227059075,-0.10689849642946925,0.08073818216351157,-0.07013381647674999,-0.049475258133769344,0.049288840895098565,0.07573860363174177,0.01,0.05,1.0000000000000002,0.27285632456362463,0.2281967073827511
64,0.003983085762435747,0.008751411056811476,0.027439488520471712,-0.4098159670487034,-0.04523663337073606,-0.07294957758229306,-0.05237866151192528,0.0533935949706111,0.06928952132073914,0.01,0.05,0.9999999999999999,0.3263457677410653,0.289503594335318
65,0.014003161752970728,-0.018746568501519414,-0.003916473440394459,-0.0862060662387707,-0.10991494832913415,-0.06456128553681667,-0.05065541208038841,0.05141700784353794,0.06365854654396756,0.01,0.05,1.0,0.2933517314199317,0.26547854143905736
66,0.0349952380030112,0.01857658728836791,-0.01473762324957044,0.14011159413684693,0.11657038675251305,-0.06767323196910703,-0.0502328662511776,0.054175175695598154,0.07118214864852195,0.01,0.05,0.9999999999999999,0.35648910768896164,0.28618098678540266
67,0.0024711898617493185,-0.0830673120604646,-0.0414580092552957,0.08792130634870476,-0.15802599534489883,-0.07489061944164849,-0.05215790137005256,0.04967405236514567,0.06564513208754852,0.01,0.05,1.0,0.3945885306020155,0.31183469788721835
68,0.021737660479324548,-0.010617517684163864,-0.020869293453854125,-0.21660570244012645,-0.015064042799469794,-0.0648599185292997,-0.0465199983337679,0.051789201252306544,0.06437961779869834,0.01,0.05,1.0,0.31299445899724376,0.27104963193015236
